,Code,Cost,CostInt,Enterprise,Frequency
0,39,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Thăng Long,08-12-15 phút/chuyến
0,35A,7000VNĐ/lượt,7000,Công ty cổ phần xe điện,15 - 20 phút/chuyến
0,57,9000VNĐ/lượt,9000,"Công ty TNHH Du lịch dịch vụ xây dựng Bảo Yến
",15 - 20 phút/chuyến
0,22B,7000VNĐ/lượt,7000,Xí nghiệp xe Buýt Cầu Bươu,12-20 phút/chuyến
0,38,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Thăng Long,15 - 20 phút/chuyến
0,53A,7000VNĐ/lượt,7000,Trung tâm Tân Đạt,27 phút/chuyến
0,41,7000VNĐ/lượt,7000,"Chi nhánh công ty TNHH Bắc Hà
",10 - 15 - 20 phút/chuyến
0,97,7000VNĐ/lượt,7000,Xí Nghiệp Buýt 10-10,20 - 30 phút/ chuyến
0,87,9000VNĐ/lượt,9000,Xí Nghiệp Xe Khách Nam,20 - 30 phút/chuyến
0,36CT,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Hà Nội,14 -20 phút/chuyến
0,72,7000VNĐ/lượt,7000,"Công ty cổ phần ô tô vận tải Hà Tây
",15-20 phút/chuyến
0,84,7000VNĐ/lượt,7000,Xí nghiệp xe Buýt Cầu Bươu,20-25 phút/chuyến
0,100,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Hà Nội,20 - 25 phút/chuyến
0,51,7000VNĐ/lượt,7000,Công ty Cổ phẩn xe khách,15 - 20 phút/chuyến
0,42,7000VNĐ/lượt,7000,"Chi nhánh công ty TNHH Bắc Hà
",15 - 20 phút/chuyến
0,09,7000VNĐ/lượt,7000,Công ty CPVT & DV Liên Ninh,15 - 20 phút/chuyến
0,06C,8000VNĐ/lượt,8000,Xí Nghiệp Xe Buýt Hà Nội,30 - 60 phút/Chuyến
0,60A,7000VNĐ/lượt,7000,"Công ty TNHH Du lịch dịch vụ xây dựng Bảo Yến
",10 - 15 - 20 phút/chuyến
0,32,7000VNĐ/lượt,7000,Xí nghiệp xe Buýt Cầu Bươu,5 - 10 - 15 phút/chuyến
0,95,8000VNĐ/lượt,8000,Xí Nghiệp Buýt 10-10,20 - 30 phút/chuyến
0,18,7000VNĐ/lượt,7000,Xí Nghiệp Buýt 10-10,15 -20 phút/chuyến
0,05,7000VNĐ/lượt,7000,Xí Nghiệp Buýt 10-10,15-20 phút/chuyến
0,86CT,30000VNĐ/lượt,30000,Xí Nghiệp Xe Buýt Yên Viên,25phút/Chuyến
0,44,7000VNĐ/lượt,7000,"Chi nhánh công ty TNHH Bắc Hà
",10 - 15 phút/chuyến
0,24,7000VNĐ/lượt,7000,Xí nghiệp xe Buýt Cầu Bươu,12 -15 -20 phút/chuyến
0,36,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Hà Nội,14 -20 phút/chuyến
